Title: VI719805148469395457
[00:02:57] 对
[00:02:58] 对
[00:02:59] 就利用这个通道去做一些状态的提示
[00:03:01] 和主动复发
[00:03:03] 好像股东马型APP
[00:03:06] 在OS上要获得苹果的特质
[00:03:10] 就是是这样的
[00:03:12] 就是它有一个服务
[00:03:13] 蓝牙可以触发一个
[00:03:15] 也似于保护手机
[00:03:17] 或者保镜层的一个东西
[00:03:20] 去做那么一个事情就行
[00:03:22] 但就不要把它变成
[00:03:24] 那个大家那种逻辑
[00:03:26] 就一直是上传中的那种进度条的逻辑
[00:03:29] 对
[00:03:30] 对
[00:03:31] 我去问过很多人
[00:03:32] 他们说
[00:03:33] 我说我跟他
[00:03:34] Luki和Insta360 GO
[00:03:35] 我问他们有什么区别
[00:03:36] 他们就觉得
[00:03:37] Insta360 GO就是一个摄像机
[00:03:39] Luki跟AI原生一些
[00:03:41] 或者你走那个通道
[00:03:42] 就我不清楚
[00:03:43] 它有一个那个电话车的Key
[00:03:45] 那个通道
[00:03:46] 那个通道就可以去
[00:03:48] 把它定义成一个
[00:03:49] 那种像手环的手表一样的
[00:03:51] 那个电
[00:03:52] 自动去传
[00:03:53] 自动去那个啥
[00:03:54] 就有一些定时的东西
[00:03:56] 这是不是要在里面装的
[00:03:57] 装个芯片啊我不知道
[00:03:59] 应该是认证
[00:04:02] 对
[00:04:05] 因为我理解
[00:04:07] 我们的时候
[00:04:08] 应该定义成客串点
[00:04:09] 对
[00:04:10] 对
[00:04:11] 我们最起码它的开机
[00:04:12] 它有了新的视频
[00:04:14] 现在视频的时间码
[00:04:16] 这个东西是应该去
[00:04:17] 给到它
[00:04:19] 去给到这个手机的手机自动去做同步
[00:04:23] 就是同步同步
[00:04:25] 它的那个什么或者什么
[00:04:26] 或者就是把这个状态同步了
[00:04:28] 哪怕传文件传输啊
[00:04:30] 这些东西需要打个APP
[00:04:32] 或者大概什么
[00:04:33] 我们可以用前面那个状态去做
[00:04:35] 用户的主动的push也好
[00:04:37] 或者打个APP的时候
[00:04:38] 我们的首页显示让用户出发也好
[00:04:41] 所以我们这些
[00:04:42] 蓝牙的这些状态同步有考虑吗
[00:04:44] 有什么想知道吗
[00:04:46] 就蓝牙的这些状态同步
[00:04:48] 就是什么
[00:04:49] 什么新的视频
[00:04:50] 有新的视频
[00:04:51] 然后同步给手机这些
[00:04:53] 那就是在这里看
[00:04:56] 但是这个是不是要
[00:04:57] 就是打开APP才能看得到
[00:04:59] 它不会主动push给手机的
[00:05:03] 不会通过
[00:05:05] 通过系统的通知去通知
[00:05:09] 不会
[00:05:10] 日本他们也有
[00:05:13] 他们也实际上
[00:05:14] 应该也做过通知
[00:05:17] 其实你如果说你主要
[00:05:18] 他就做这种状态的话
[00:05:19] 你也可以要通知
[00:05:20] 嗯
[00:05:21] 通知上传好的
[00:05:22] 他通知什么
[00:05:23] 日文移动
[00:05:24] 但是我但是我从来没用过
[00:05:26] 他在这个手机边站上
[00:05:28] 我也给他那个提示
[00:05:30] 如果你拍了照片
[00:05:31] 嗯
[00:05:32] 他传到那个手机上
[00:05:33] 对
[00:05:34] 他会传出来
[00:05:35] 他先不把数据传过来
[00:05:36] 但是他把有一个东西
[00:05:37] 状态传过来
[00:05:38] 啊
[00:05:40] 嗯
[00:05:41] 或者你们后面如果有
[00:05:43] 因此引火什么的
[00:05:44] 就可以去往云端评估
[00:05:46] 嗯
[00:05:47] 放开了
[00:05:48] 对
[00:05:49] push是走push的
[00:05:50] 对吧
[00:05:51] 所以你以前可能传上去
[00:05:53] 然后再给一个图图
[00:05:54] 嗯
[00:05:55] 这个会比较稳定
[00:05:56] 对对对
[00:05:57] 因为一旦来牙的话
[00:05:58] 他确实还要手机去
[00:06:00] 有一些就是就是能够去
[00:06:03] 很多用户他一旦没有打开
[00:06:04] 这个存值
[00:06:05] 你说不到
[00:06:06] 或者说算了
[00:06:07] 算了
[00:06:08] 你只有有医生
[00:06:09] 这个独立通信
[00:06:10] 你只能去稳定的
[00:06:11] 去做各种
[00:06:12] 通常通过
[00:06:13] 嗯
[00:06:17] 对
[00:06:18] 其实其实看国内很多
[00:06:19] 设备基本上
[00:06:20] 他们也不会也也都会把
[00:06:21] 一些设备的这个页面
[00:06:23] 会列比较全
[00:06:24] 我觉得也是出一种
[00:06:25] 比较新的设备
[00:06:26] 对于用户来说
[00:06:27] 有一个学习门槛吧
[00:06:29] 或者说有一个认知门槛
[00:06:30] 所以他会把他们
[00:06:31] 给我点到
[00:06:32] 那确实如果说
[00:06:33] 你对这个设备很了解的话
[00:06:34] 其实我才是要
[00:06:35] 这么权益给你
[00:06:36] 或者说需要了解完设备之后
[00:06:37] 对设备干嘛呢
[00:06:38] 嗯
[00:06:40] 他要对设备干嘛呢
[00:06:41] 嗯
[00:06:42] 比如说
[00:06:43] 嗯
[00:06:44] 在下午是不是可以去
[00:06:45] 嗯
[00:06:46] 比如说我们第一个
[00:06:47] 嗯
[00:06:48] 开始就是
[00:06:49] 你是不是可以调整
[00:06:50] 这个东西
[00:06:51] 就是他们的东西
[00:06:52] 什么你给你
[00:06:53] 对吧
[00:06:54] 对
[00:06:55] 什么你给你
[00:06:56] 就把它进行
[00:06:57] 我们可以调整
[00:06:58] 可以调整
[00:06:59] 可以调整
[00:07:00] 对
[00:07:01] 对
[00:07:02] 可以调整记录
[00:07:03] 比如说Live View
[00:07:04] 我们当时经营
[00:07:05] 我们在经营Live View
[00:07:06] 是一个非常重要的预览功能
[00:07:07] 嗯
[00:07:08] 然后WiFi设置
[00:07:09] WiFi设置是一个非常
[00:07:10] 其实也是一个相
[00:07:11] 相
[00:07:12] 相
[00:07:21] 对
[00:07:22] 对
[00:07:24] 前三个其实都用
[00:07:25] 这种定义
[00:07:26] 会比较高层
[00:07:27] 但是现在的话
[00:07:28] 其实
[00:07:29] 第一个
[00:07:30] 会看到
[00:07:31] 因为后面很酷
[00:07:32] 会让我们给CNN了
[00:07:33] 对
[00:07:34] 因为经常
[00:07:35] 你到一个新的地方
[00:07:36] 做这个新的WiFi
[00:07:38] 这种WiFi也都会
[00:07:39] 人家不稳定
[00:07:40] 你也需要去
[00:07:41] 去操作一下
[00:07:42] 那如果说这些都稳定了
[00:07:47] 最关键还是下一个地方
[00:07:49] 嗯
[00:07:50] 素材这个提示
[00:07:51] 如果你有新素材
[00:07:53] 然后又提示用户
[00:07:58] 我在用这种
[00:08:00] 大多数的WiFi的时候
[00:08:01] 我今天好几个手机问一个
[00:08:03] 对吧
[00:08:06] 就是配对
[00:08:07] 什么WiFi
[00:08:08] 手机WiFi盘
[00:08:09] 怎么配对
[00:08:10] 这个设备本身是
[00:08:11] 设备本身是不关系的
[00:08:13] 是有什么关系
[00:08:14] 它的WiFi连接的记忆会是吗
[00:08:17] 我们是
[00:08:18] 我们有两种连接方式
[00:08:19] 第一种是
[00:08:20] 设备自己去连接各种网络
[00:08:22] 因为相当于
[00:08:23] 就是把WiFi里面
[00:08:25] WiFi密码写过进去
[00:08:26] 然后它可以在
[00:08:28] 可以在
[00:08:29] 可以在
[00:08:30] 脱离手机的情况下
[00:08:31] 自动去连接WiFi
[00:08:32] 可以做一个自动上传
[00:08:33] 做一些固件连接
[00:08:35] 然后第二个是说
[00:08:36] 当你没有外部网络的情况下
[00:08:38] 你又希望去跟
[00:08:39] 跟设备之间
[00:08:40] 做一些大数据的传输
[00:08:42] 那你手机就可以
[00:08:43] 就连接设备的一个热点
[00:08:45] 我说我现在外面没有网络
[00:08:46] 但是我都希望
[00:08:47] 你们要快点看
[00:08:48] 看到这个
[00:08:49] 刚刚开始出台
[00:08:50] 那我就能够
[00:08:51] 给大家一个热点
[00:08:52] 然后去把
[00:08:53] 这个就是我们
[00:08:54] 这个就是我们
[00:08:55] 我们的设备
[00:08:56] 设备
[00:08:57] 设备
[00:08:58] 设备
[00:10:01] 其实这么多困难事项,你把它做成一个独立设备是一个运行的
[00:10:07] 或者还是说我们其实认为大陆转,它是一个录制和记录的点
[00:10:15] 它的处理和分布都是在右手的手机和电脑
[00:10:20] 从现状来看,它是刚才您说的那样的
[00:10:24] 它只是作为做输入,因为如果只是价值定义的话
[00:10:28] 需要它做视频的很少,让它作为尽量的体系效果
[00:10:32] 然后定义设备也会更少,你的配置也会做得更少,价格也会更低
[00:10:36] 如果它是一个独立的设备的话,至少要有第一线
[00:10:41] 但它上面讲说做不了,你不能通过你既定义是一个独立设备
[00:10:47] 你要需要它去通过来看这件事
[00:10:49] 它就应该跟小灯灾,我们的工作表一样
[00:10:52] 我们需要手机,我也能够去给你
[00:10:54] 那这种最后的第一工序是什么
[00:10:58] 不过现在数据都是在云端处理的
[00:11:02] 我觉得就是看哪一部船嘛
[00:11:07] 如果是设备船的话,其实就是对网络,对各种EC要求就会很高
[00:11:14] 对网络的要求一定是高的
[00:11:17] 我们就可创建一件最大的两个难点
[00:11:21] 一个就是电池,一个就是connectivity,就是通信
[00:11:25] 然后它拍的视频长
[00:11:29] 以下都是,可能单文件都有好几个小时的视频
[00:11:34] 就本地线主要是占满,对吧
[00:11:36] 对啊,本地线长到手机上长得也满
[00:11:39] 那有像那些连近,它不仅只能拍三分钟
[00:11:42] 但视频都关小
[00:11:46] 就说实话,如果说它有eSIM,那好像说的,这部船完全没有
[00:11:52] 因为它不需要依赖手机的一个
[00:11:55] 不需要依赖蓝牙,因为蓝牙是非常过敏的
[00:11:57] 但是你的SIM卡还是非常稳
[00:11:59] 嗯,对,就主要是这个重量交互这块
[00:12:01] 对,那这个时候你需要,这个唯一问题就是续航的问题
[00:12:04] 嗯
[00:12:05] 那现在我们想来谈
[00:12:07] SIM卡其实现在技术上主要是被实现了
[00:12:09] 而且在网上也看到有其他家正在去做这个事情
[00:12:13] 但是目前我们正在做的这一代
[00:12:15] 他们还没有去做这个东西
[00:12:17] 主要eSIM我理解其实还是辅助啊
[00:12:20] 就是以外的产出为主,eSIM是有双派的交互同步
[00:12:24] 嗯
[00:12:25] 当然靠eSIM船,米博的资费或者用户
[00:12:28] 对于用户的使用成本来说
[00:12:30] 应该是比较高的
[00:12:33] 我觉得肯定,就像现在手机一样
[00:12:35] 你肯定也可以,有Wi-Fi就用Wi-Fi嘛
[00:12:37] 没有Wi-Fi,用户要是愿意的话,他也可以用eSIM船
[00:12:40] 对,但手机不会大量的去传
[00:12:42] 大量的这种视频
[00:12:44] 嗯
[00:12:45] 你想象一下,如果你的明天手机一直开着摄像功能
[00:12:48] 一直把这个东西传上去
[00:12:50] 你的流量费用会是
[00:12:52] 哦,国外的那个按摩
[00:12:55] 嗯
[00:12:57] 也有Wi-Fi的要求吧
[00:12:59] 嗯,没有
[00:13:01] 你传过什么视频吗
[00:13:04] 嗯,没有,但就不像国内它有个明确的流量在那
[00:13:08] 但我基本上没有用过
[00:13:10] 我觉得这个可能是比较重要的事情
[00:13:12] 我这种event其实都是可以跟那些broadcom他们去谈的
[00:13:16] 对,其实对于他们来说,如果是这样传出的话
[00:13:19] 那其实这个设备,或者你的会员,它其实是两个价格
[00:13:23] 你们本身会员的价格和他们给这个套餐的eSIM的价格
[00:13:26] 虚名IP当时就是加了eSIM
[00:13:28] 嗯
[00:13:29] 我觉得如果有eSIM,其实很多很多的问题
[00:13:32] 嗯
[00:13:33] 就现在遇到的非常多问题,都不需要再去考虑了
[00:13:36] 嗯
[00:13:37] 我二代,二代去再看
[00:13:39] 谢谢大家
[00:13:42] 这里面就是谈那个能耗了
[00:13:44] 对
[00:13:45] 唯一的就是能耗
[00:13:46] 对
[00:13:47] eSIM的价格
[00:13:50] eSIM这个到
[00:13:52] 我是对于用户成本,用户成本来说
[00:13:56] 而且对于用户来说
[00:13:59] 对
[00:14:00] 如果能谈一个合作套餐或者什么
[00:14:03] 对
[00:14:04] 我觉得会比较好
[00:14:05] 对
[00:14:06] 然后后面可能我不清楚,那个端色算法的处理和那个啥
[00:14:12] 视频可以录得小一点的嘛
[00:14:14] 嗯
[00:14:18] 你觉得这个
[00:14:23] 你看我们现在其实走的更像视频版plot
[00:14:26] 嗯
[00:14:27] 但我也听有人说
[00:14:29] 就是说视频这个东西
[00:14:31] 是要用来fulfund的
[00:14:33] 对
[00:14:35] Luki他们其实是走的是fulfund本格
[00:14:37] 但是呢
[00:14:38] 不一样嘛
[00:14:39] 就完全两个场景
[00:14:40] 对
[00:14:41] 你如果定义上次聊的B转户
[00:14:42] 对
[00:14:43] 那其实就是走
[00:14:44] 走记录去寻找下一个人
[00:14:45] 对
[00:14:46] 去搞信息密度去做处理
[00:14:47] 对
[00:14:48] 对
[00:14:49] 对吧
[00:14:50] 去创永端就是能够去拿到这些信息
[00:14:51] 创永端就是能够去拿到这些信息
[00:14:52] 创永端就是能够去拿到这些信息
[00:14:53] 创永端就是能够去拿到这些信息
[00:14:56] 但Luki做的不好
[00:14:57] Luki他其实是记录你的一天
[00:14:59] 就把你一天了
[00:15:00] 他现在的思路是把一天了
[00:15:03] 全给你剪出来嘛
[00:15:04] 但没有人分享抖音
[00:15:05] 会分享我的一天
[00:15:06] 对
[00:15:07] 所有网红分享我的一天
[00:15:08] 他也是一周里面
[00:15:09] 每个时间点都经把剪出来的一天
[00:15:10] 每个时间点都经把剪出来的一天
[00:15:11] 每个时间点都经把剪出来的一天
[00:15:13] 大家只会分享
[00:15:14] 我今天最值得分享的那个片段
[00:15:15] 我今天最值得分享的那个片段
[00:15:16] 对
[00:15:17] 所以这是他的问题
[00:15:18] 他的记录角度也是很偏低的
[00:15:19] 他的记录角度也是很偏低的
[00:15:20] 对
[00:15:21] 后开始
[00:15:27] 对于我们来说
[00:15:28] 对于一些关键的信息的辅助
[00:15:29] 对
[00:15:30] 我今天在聊一个事情
[00:15:31] 突然聊完
[00:15:32] 聊的时候
[00:15:33] 有在让手写写画画的
[00:15:34] 这个东西
[00:15:35] 记录
[00:15:36] 这个视觉可以作为
[00:15:37] 对话里面的信息的辅助
[00:15:38] 对
[00:15:39] 我觉得只要把这两个信息
[00:15:41] 继续提取出来
[00:15:42] 可能在成见层面
[00:15:44] 对他来说就是关键的
[00:15:45] 可能在成见层面
[00:15:46] 对他来说就是关键的
[00:15:47] 对我们推理和云端推理处理
[00:15:48] 对我们推理和云端推理处理
[00:15:49] 我们去找到
[00:15:50] 我们可能要拿到的分权的东西
[00:15:51] 我们可能要拿到的分权的东西
[00:15:52] 东西才能推理出来
[00:15:55] 这个页面其实是更fall效率的
[00:15:57] 而根本不是fall我的一天的展示
[00:15:59] 对
[00:16:00] 其实你可以看一下
[00:16:01] 我们还有Capture
[00:16:02] 是有偏娱乐的
[00:16:05] 但是那个就不是
[00:16:07] 就不是优先级
[00:16:09] 优先级没有那么高
[00:16:10] 但也有偏娱乐的
[00:16:12] 就是那个Capture
[00:16:14] 就是这种产品应该
[00:16:26] 我去演清楚一点
[00:16:27] 如果你是follow的话
[00:16:28] 那就两次
[00:16:31] 两次
[00:16:32] 你觉得在
[00:16:34] 现在这个其实也很久
[00:16:36] 其实做其实是要
[00:16:38] 要静解
[00:16:39] 你要不要做减反吗
[00:16:40] 因为硬件这个东西
[00:16:41] 你没有办法快速迭代的
[00:16:42] 做软件很多人会说
[00:16:44] 我对吧
[00:16:45] 我做一个片
[00:16:46] 然后因为你可以快速迭代
[00:16:47] 对
[00:16:48] 也不乱试
[00:16:49] 然后做硬件其实大家都会
[00:16:50] 要做减反
[00:16:51] 你要做越小越好
[00:16:53] 所以其实像Rocket
[00:16:54] 像雷鸟其实他们是比较能
[00:16:56] 反倒Event其实做的比较好
[00:16:58] 因为他们做了很多减反
[00:16:59] 但这个时候也要去看
[00:17:01] 就是这个
[00:17:02] 你做完这个减法之后
[00:17:03] 你他给那个场景到底有没有价值
[00:17:06] 所以这个我觉得就是也
[00:17:07] 我自己也挺久远
[00:17:08] 你知道
[00:17:09] 我觉得就是看你真的
[00:17:10] 就首先
[00:17:11] 就按照你描述的场景
[00:17:12] 我觉得定义那就是B端
[00:17:14] 就是它录到这段好玩的
[00:17:15] 那算捞着了
[00:17:17] 后面的算法可以迭代
[00:17:18] 对吧
[00:17:19] 就是一直
[00:17:20] 什么供单
[00:17:21] 或什么突然录到了一个
[00:17:22] 我家狗很好玩的一个瞬间
[00:17:24] 对
[00:17:25] 或者
[00:17:26] 录到街上大妈和大爷吵架
[00:17:28] 这种东西就是
[00:17:30] 拋不出手机来得及
[00:17:31] 但是我一直开着设备
[00:17:32] 能够录到就算捞着了
[00:17:34] 我觉得还是要去计较那些效率场景
[00:17:37] 如果叫效率场景
[00:17:38] 或者一天它其实我们合成的点
[00:17:40] 就是共在的概念
[00:17:42] 持续在场的那个概念
[00:17:44] 对
[00:17:45] 那持续在场的概念
[00:17:46] 对于设备的操作交货
[00:17:48] 关闭这些东西
[00:17:49] 就应该都
[00:17:50] 都不应该让他有交流
[00:17:52] 他就是一直在
[00:17:53] 然后硬其实也是解决
[00:17:56] 让他一直在的
[00:17:57] 对
[00:17:58] 那我觉得
[00:17:59] 一直在这个事情
[00:18:00] 这就是我们与其他硬体
[00:18:02] 真正最大的需要
[00:18:04] 不一旦我们没有eSIM
[00:18:06] 对
[00:18:07] 或者是我们去通过WiFi
[00:18:08] 或者手机
[00:18:09] 或者怎么去自动去
[00:18:11] 让它持续能够在线
[00:18:13] 这个情况
[00:18:14] 去做主要的交流
[00:18:16] 这就是设备解决的问题
[00:18:18] 而不是任何其他东西
[00:18:21] 你觉得它
[00:18:22] 你觉得它主要会解决
[00:18:24] 比如说你自己
[00:18:25] 你觉得你会用它做什么
[00:18:27] 上次我们聊到效率场景
[00:18:28] 我觉得陈毅
[00:18:29] 那就先把这个场景做好
[00:18:34] 比如说像我自己
[00:18:35] 我自己平常场景
[00:18:36] 就是一个是效率
[00:18:37] 我们现在开会的话
[00:18:38] 我会用就录
[00:18:39] 然后第二个是
[00:18:42] 但我有一些其他场景
[00:18:44] 比如说
[00:18:45] 就平常健身吃饭
[00:18:48] 这个模拟是我的饮食
[00:18:50] 让人出去玩
[00:18:52] 那些也算是场景
[00:18:54] 我觉得就是看你对这个事
[00:18:57] 就是首先
[00:18:58] 这里面核心的差别在于
[00:19:01] 就还是你到底是
[00:19:05] 记录的一个东西
[00:19:07] 它是一个高分辨率
[00:19:09] 有拍摄角度
[00:19:11] 有拍摄的运镜
[00:19:13] 自录这么一个偏故事化
[00:19:15] 剪辑的录制过程
[00:19:17] 还是一个我只需要信息
[00:19:20] 低分辨率拍到
[00:19:22] 记录到
[00:19:23] 为主的这么一个效率性的工具
[00:19:26] 看你到底是怎么一个
[00:19:27] 如果你要做生活
[00:19:28] 那你就应该去做高情
[00:19:31] 做拍摄角度
[00:19:32] 做不同的拍摄玩法
[00:19:34] 如果你是后者
[00:19:35] 其实就可以不考虑这个问题
[00:19:37] 但你其实真的很难把这两个兼顾
[00:19:39] 你带到那
[00:19:40] 你带到胸前
[00:19:42] 它就已经决定了
[00:19:43] 你不会有特别好的拍摄角度
[00:19:45] 你只能记录到
[00:19:47] 很多眼镜它能够去做生活场景
[00:19:50] 它那个东西其实就是
[00:19:52] 结合了第一人称的Vlog
[00:19:55] 对
[00:19:57] 然后其他设备
[00:20:00] 其实你看他们的玩法
[00:20:02] 你看所有手势啊或什么
[00:20:04] 他们都是有做广角
[00:20:06] 有做运镜
[00:20:08] 有做拍摄的各种玩法
[00:20:10] 他们合一都是在做这个事情
[00:20:12] 就是拍更好看
[00:20:14] 去把这些东西记录到
[00:20:16] 记录的更好玩
[00:20:18] 那你觉得像我们做一个这种
[00:20:20] I don't share feature
[00:20:22] 用无人探测实时那种
[00:20:24] 平常会拍的那种
[00:20:27] 弄什么的
[00:20:29] 在软件层里
[00:20:31] 软件层里肯定是要做的
[00:20:33] 就是做成那种
[00:20:35] 变成漫画的小feature
[00:20:37] 但这种feature到底要不要做
[00:20:40] 如果我们就会
[00:20:42] 其实可以做
[00:20:44] 就是比如你一个人群来说
[00:20:46] 那其实对于你的开会
[00:20:48] 和对你的健身其实你都是会很卷
[00:20:50] 因为健身其实你也会有明确的目标
[00:20:52] 明确的
[00:20:54] 明天明天后天
[00:20:56] 你其实需要有持续的活动
[00:20:58] 那其实就是我们可以做出来的东西
[00:21:00] 达到长期的
[00:21:02] 大量的信息
[00:21:04] 我们去从什么关键
[00:21:06] 然后再做持续推理
[00:21:08] 再去做个性化
[00:21:10] 这个是要做的
[00:21:12] 它可以是犯效率场景
[00:21:14] 犯效率场景
[00:21:16] 但比如我可能玩的是
[00:21:18] 我今天怎么去
[00:21:20] 怎么去做一些
[00:21:22] 炫酷的好感视频
[00:21:24] 那这个你可能讲不出来的
[00:21:26] 对这个讲不出来
[00:21:28] 我拍一个好感视频我可能
[00:21:30] 在旁边的视角
[00:21:32] 接好把底部视角
[00:21:34] 在旁边的视角
[00:21:36] 在下面的视角
[00:21:38] 在下面的视角
[00:21:40] 对
[00:21:42] 不可能不行的
[00:21:44] 你得给我按10个屏
[00:21:47] 你觉得这个对大家tag user是什么
[00:21:49] 如果是效率场景
[00:21:51] 那其实就可以
[00:21:53] 效率需要大量的去交谈
[00:21:55] 去记录的人
[00:21:57] 你一天围绕着信息
[00:21:59] 和他需要有长期的
[00:22:01] 这时候
[00:22:03] 这时候
[00:22:05] 都会有人说
[00:22:07] 如果你只是开会
[00:22:09] 他们就觉得音频
[00:22:11] 就百分之七十八十过
[00:22:13] 但是我给他们的一个回答是
[00:22:15] 如果你真的追求OAZ
[00:22:17] 音频的OAZ
[00:22:19] 它是很难去真的帮你分段的
[00:22:21] 就AI不知道你场景的切换的
[00:22:23] 这我觉得视觉是很重要的一点
[00:22:25] 多一个维度我们肯定能找出来的
[00:22:27] 今天拍这个东西
[00:22:29] 今天聊到这儿
[00:22:30] 他知道
[00:22:32] 比如我今天其实
[00:22:34] 如果我自己
[00:22:36] 我知道我今天已经是
[00:22:38] 我到公司后面应该是三场会了
[00:22:40] 这是我第三个会
[00:22:42] 但如果没有视觉
[00:22:44] 可能有些东西我是不知道的
[00:22:46] 我可能以为是一场会
[00:22:49] 或两场会
[00:22:51] 这里面能够推出很多东西
[00:22:53] 就是两类人
[00:22:55] 一类是for fun
[00:22:57] 他的生活为乐趣
[00:22:59] 其实没有很多工作效率的事情
[00:23:01] 可能去玩
[00:23:03] 还有类场景的
[00:23:05] 当然学生也要高的效率成长
[00:23:07] 更精进
[00:23:09] 这里面包含工作也包含你身体支持这个工作
[00:23:11] 比如明天三场会议里面
[00:23:13] 他有时候会观察到你去喝水
[00:23:15] 你去拿水了
[00:23:17] 你没有喝水拿水
[00:23:19] 这个东西就完全是可以给他prompt
[00:23:21] 或者我们去进入我们认识的关注室
[00:23:23] 我后面
[00:23:25] 嗓子眼了
[00:23:27] 这里面他其实就能够推理出来
[00:23:29] 后面我们在工作去喝水
[00:23:31] 这些都是在生活里面
[00:23:33] 去给这类人去推荐的
[00:23:35] 但他不是分享生活
[00:23:37] 而通过你共在的
[00:23:39] 因为你持续你记录
[00:23:41] 你能够拿到的一个
[00:23:43] 其他东西拿不到的信息
[00:23:45] 会议的东西
[00:23:48] 他实在会议期间会开
[00:23:50] 他最多的就是能够记录的
[00:23:52] OK 今天你开的游览会很辛苦
[00:23:54] 对 但其实是
[00:23:56] OK 你今年可以在这场会议之间
[00:23:58] 喝水喝水
[00:24:00] 把游览时间搞得好
[00:24:02] 我让你
[00:24:08] 每天健身
[00:24:10] 但有时候健身或者交换健身活动
[00:24:12] 就容易忘开表
[00:24:14] 是
[00:24:16] 所以就是把开表开和关这件事情
[00:24:18] 去彻底把它淡化掉
[00:24:20] 其实已经是一个很大的进步
[00:24:22] prod他们也说他们
[00:24:24] 他们那篇的一个
[00:24:26] 大家的一个最大的通灵
[00:24:28] 其实就是忘记开了和忘记关了
[00:24:30] 他在苹果书标
[00:24:32] 他后面其实做了很长时间的
[00:24:34] 他迭代了一篇效果功能
[00:24:36] 当我去跑步或健身
[00:24:38] 我把那个东西暂停了之后
[00:24:40] 我再去开始健身
[00:24:42] 你忘了回复
[00:24:44] 但他在后面那个版本
[00:24:46] 一年前那个版本他开始提醒你
[00:24:48] 你是不是已经开始继续运动了
[00:24:50] 他会提醒你自动去开
[00:24:52] 或有时候你再去骑行
[00:24:54] 比如我有时候骑行到一点多公里的时候
[00:24:56] 他突然会蹦弹出来一下
[00:24:58] 点头到你可能正在运动
[00:25:00] 当你开启运动的那个时候
[00:25:02] 你的那骑行的距离
[00:25:04] 就不是从零开始的
[00:25:06] 就真的是你刚刚
[00:25:08] 真实开始的骑行
